Date,Open,High,Low,Close,Adj Close,Volume
2017-12-01,1274.0999755859375,1288.5999755859375,1271.0,1278.800048828125,1278.800048828125,823
2017-12-04,1272.5,1276.0999755859375,1270.300048828125,1274.300048828125,1274.300048828125,850
2017-12-05,1275.4000244140625,1275.800048828125,1260.0,1261.5999755859375,1261.5999755859375,1499
2017-12-06,1264.9000244140625,1267.800048828125,1261.5999755859375,1262.800048828125,1262.800048828125,373
2017-12-07,1262.300048828125,1262.4000244140625,1243.9000244140625,1249.800048828125,1249.800048828125,358
2017-12-08,1246.300048828125,1249.300048828125,1241.5,1245.199951171875,1245.199951171875,157
2017-12-11,1248.4000244140625,1249.199951171875,1239.9000244140625,1243.699951171875,1243.699951171875,146
2017-12-12,1241.300048828125,1244.4000244140625,1236.5,1238.5,1238.5,692
2017-12-13,1241.9000244140625,1254.5,1239.800048828125,1245.4000244140625,1245.4000244140625,349
2017-12-14,1252.9000244140625,1257.699951171875,1250.300048828125,1253.800048828125,1253.800048828125,139
2017-12-15,1253.0999755859375,1260.300048828125,1253.0999755859375,1254.300048828125,1254.300048828125,578
2017-12-18,1256.199951171875,1262.4000244140625,1255.699951171875,1262.199951171875,1262.199951171875,45
2017-12-19,1261.0999755859375,1264.300048828125,1259.5,1260.699951171875,1260.699951171875,329
2017-12-20,1261.300048828125,1266.5999755859375,1261.300048828125,1266.0999755859375,1266.0999755859375,63
2017-12-21,1266.4000244140625,1267.4000244140625,1264.300048828125,1267.300048828125,1267.300048828125,226
2017-12-22,1266.300048828125,1276.300048828125,1266.300048828125,1275.4000244140625,1275.4000244140625,119
2017-12-26,1282.4000244140625,1284.0999755859375,1281.800048828125,1284.0999755859375,1284.0999755859375,84
2017-12-27,1284.0,1287.0,1284.0,1287.0,1287.0,456
2017-12-28,1288.199951171875,1294.0999755859375,1288.199951171875,1294.0999755859375,1294.0999755859375,245
2017-12-29,1294.199951171875,1306.300048828125,1294.0,1306.300048828125,1306.300048828125,65
2018-01-02,1302.300048828125,1317.5999755859375,1302.300048828125,1313.699951171875,1313.699951171875,68
2018-01-03,1320.0,1320.0999755859375,1312.0999755859375,1316.199951171875,1316.199951171875,42
2018-01-04,1319.4000244140625,1322.0,1319.4000244140625,1319.4000244140625,1319.4000244140625,2
2018-01-05,1320.300048828125,1320.300048828125,1320.300048828125,1320.300048828125,1320.300048828125,1
2018-01-08,1319.9000244140625,1319.9000244140625,1314.5999755859375,1318.5999755859375,1318.5999755859375,41
2018-01-09,1309.5999755859375,1311.699951171875,1309.5999755859375,1311.699951171875,1311.699951171875,16
2018-01-10,1320.300048828125,1320.699951171875,1315.300048828125,1317.4000244140625,1317.4000244140625,70
2018-01-11,1317.0999755859375,1320.5999755859375,1316.300048828125,1320.5999755859375,1320.5999755859375,9
2018-01-12,1327.800048828125,1338.199951171875,1327.800048828125,1333.4000244140625,1333.4000244140625,14
2018-01-16,1331.0999755859375,1335.4000244140625,1331.0,1335.4000244140625,1335.4000244140625,13
